state,state_abbr,year,season,scenario,scenario_label,summer_tas_c,summer_tas_c_2020,summer_tas_c_change_from_2020
Louisiana,LA,2040,JJA,ssp126,Low emissions (SSP126),27.3196078182431,26.843128260859647,0.4764795573834555
Louisiana,LA,2041,JJA,ssp126,Low emissions (SSP126),27.704658562954915,26.843128260859647,0.8615303020952707
Louisiana,LA,2042,JJA,ssp126,Low emissions (SSP126),29.36437081800069,26.843128260859647,2.5212425571410457
Louisiana,LA,2043,JJA,ssp126,Low emissions (SSP126),27.633503464312962,26.843128260859647,0.7903752034533149
Louisiana,LA,2044,JJA,ssp126,Low emissions (SSP126),28.568745614472714,26.843128260859647,1.7256173536130641
Louisiana,LA,2045,JJA,ssp126,Low emissions (SSP126),26.617755899561008,26.843128260859647,-0.22537236129863697
Louisiana,LA,2046,JJA,ssp126,Low emissions (SSP126),29.590306633755983,26.843128260859647,2.747178372896336
Louisiana,LA,2047,JJA,ssp126,Low emissions (SSP126),28.260078734626386,26.843128260859647,1.416950473766743
Louisiana,LA,2048,JJA,ssp126,Low emissions (SSP126),28.223069663910465,26.843128260859647,1.379941403050821
Louisiana,LA,2049,JJA,ssp126,Low emissions (SSP126),28.122147746464382,26.843128260859647,1.2790194856047348
Louisiana,LA,2050,JJA,ssp126,Low emissions (SSP126),29.20345286050348,26.843128260859647,2.360324599643837
Louisiana,LA,2051,JJA,ssp126,Low emissions (SSP126),28.908483715180594,26.843128260859647,2.0653554543209474
Louisiana,LA,2052,JJA,ssp126,Low emissions (SSP126),27.58252730452979,26.843128260859647,0.7393990436701467
Louisiana,LA,2053,JJA,ssp126,Low emissions (SSP126),30.11784567418354,26.843128260859647,3.274717413323896
Louisiana,LA,2054,JJA,ssp126,Low emissions (SSP126),29.220858896241733,26.843128260859647,2.3777306353820875
Louisiana,LA,2055,JJA,ssp126,Low emissions (SSP126),27.498732174733853,26.843128260859647,0.6556039138742072
Louisiana,LA,2056,JJA,ssp126,Low emissions (SSP126),28.742253839120462,26.843128260859647,1.899125578260819
Louisiana,LA,2057,JJA,ssp126,Low emissions (SSP126),28.2646396623356,26.843128260859647,1.4215114014759522
Louisiana,LA,2058,JJA,ssp126,Low emissions (SSP126),28.097487538209997,26.843128260859647,1.25435927735035
Louisiana,LA,2059,JJA,ssp126,Low emissions (SSP126),28.477977924522314,26.843128260859647,1.634849663662667
Louisiana,LA,2060,JJA,ssp126,Low emissions (SSP126),26.60355451872986,26.843128260859647,-0.23957374212978308
Louisiana,LA,2061,JJA,ssp126,Low emissions (SSP126),27.71542205663027,26.843128260859647,0.8722937957706234
Louisiana,LA,2062,JJA,ssp126,Low emissions (SSP126),28.445814909451908,26.843128260859647,1.6026866485922653
Louisiana,LA,2063,JJA,ssp126,Low emissions (SSP126),28.911161572052766,26.843128260859647,2.068033311193122
Louisiana,LA,2064,JJA,ssp126,Low emissions (SSP126),28.36864642248128,26.843128260859647,1.5255181616216322
Louisiana,LA,2065,JJA,ssp126,Low emissions (SSP126),28.70412900134159,26.843128260859647,1.8610007404819477
